id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
1,0.224524,tcp,http,FIN,10,8,830,960,75.715734,62,252,26616.30664,29929.98438,2,2,24.947111,30.407428,1344.946273,54.342605,255,3306255269,327760033,255,0.055643,0.00698,0.048663,83,120,1,66,3,1,2,2,1,2,0,0,1,2,3,0,Exploits
2,0.409782,tcp,http,FIN,10,8,852,1336,41.485474,62,252,14973.81543,22821.89063,2,2,45.531333,46.374145,2261.112342,78.615164,255,110924759,1029042703,255,0.123943,0.056063,0.06788,85,167,1,235,2,1,2,2,1,3,0,0,1,2,2,0,Exploits
3,0.258515,tcp,http,FIN,10,6,1064,268,58.023712,254,252,29646.24805,6931.899414,2,1,28.723889,43.326602,1393.321027,76.355812,255,1105088469,46488383,255,0.05861,0.011825,0.046785,106,45,1,0,3,1,1,1,1,1,0,0,1,1,2,0,Exploits
4,5.600391,tcp,http,FIN,12,12,886,5236,4.106856,62,252,1161.347534,6856.664062,2,3,509.126466,505.874182,38893.67089,36169.42875,255,3330056193,2684670015,255,0.060118,0.010067,0.050051,74,436,1,2133,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
5,0.217312,tcp,http,FIN,10,6,1148,268,69.025183,254,252,38065.08594,8246.208008,2,1,24.145778,41.354801,1254.080455,61.817492,255,1345084615,3176772983,255,0.024186,0.009806,0.01438,115,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance
6,7.629429,tcp,http,FIN,202,1294,9082,1747118,195.951758,62,252,9476.987305,1830562.25,2,645,37.957358,5.882331,1929.952965,745.606365,255,946376470,4123805385,255,0.052951,0.028738,0.024213,45,1350,1,847364,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
7,0.502392,tcp,http,FIN,10,8,938,354,33.838119,254,252,13455.62891,4936.384277,2,1,53.853,62.081,3382.950901,125.017484,255,212558147,1344236237,255,0.10843,0.067821,0.040609,94,44,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Exploits
8,0.460161,tcp,http,FIN,12,20,908,18088,67.367726,62,252,14481.8877,298747.625,2,7,41.83282,21.012526,3014.90589,2285.089136,255,24379987,3237873338,255,0.096038,0.048439,0.047599,76,904,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
9,0.289402,tcp,http,FIN,10,8,1134,1074,58.741818,254,252,28223.71484,25984.61523,2,2,32.155778,37.544145,1739.388491,71.479023,255,3606458423,514971185,255,0.076918,0.025907,0.051011,113,134,1,98,2,1,1,1,1,2,0,0,1,1,2,0,Exploits
10,0.209133,tcp,http,FIN,10,6,508,268,71.724692,254,252,17519.95117,8568.709961,2,1,21.766333,32.622801,1139.187144,51.108875,255,3869127034,1987960674,255,0.066589,0.046011,0.020578,51,45,1,0,12,1,2,2,1,12,0,0,1,2,12,0,Fuzzers
11,0.197552,tcp,http,FIN,10,6,758,268,75.929377,254,252,27658.54102,9071.029297,2,1,20.485667,33.139398,1041.396323,50.775418,255,948977096,112926856,255,0.060979,0.031846,0.029133,76,45,1,0,12,1,4,4,1,12,0,0,1,5,12,0,Fuzzers
12,0.483004,tcp,http,FIN,10,8,566,354,35.196396,254,252,8447.134766,5134.533203,2,1,53.667111,58.820855,3414.740225,110.386664,255,2964286253,3984427726,255,0.117386,0.057477,0.059909,57,44,1,0,10,1,3,2,1,10,0,0,1,3,9,0,Fuzzers
13,2.032866,tcp,ftp,FIN,22,22,1186,1602,21.152403,62,252,4458.729492,6021.056152,7,9,96.803144,94.474999,4838.362529,5599.901392,255,3182323027,3647175709,255,0.087444,0.047985,0.039459,54,73,0,0,1,1,3,1,1,2,1,1,0,2,1,0,Exploits
14,0.727527,tcp,ftp-data,FIN,8,8,364,1628,20.617791,62,252,3507.773438,15669.52148,1,2,103.784429,94.951859,6926.842878,177.307719,255,1613063914,4226155936,255,0.106917,0.062859,0.044058,46,204,0,0,1,1,3,1,1,2,0,0,0,2,1,0,Exploits
15,0.688948,tcp,http,FIN,10,10,908,2000,27.57828,62,252,9498.540039,20901.43359,2,2,76.549778,69.235109,5070.32997,112.85018,255,3020503365,2118146627,255,0.129972,0.047353,0.082619,91,200,1,476,1,1,1,1,1,1,0,0,1,3,1,0,Exploits
16,0.772218,tcp,http,FIN,10,10,808,1238,24.604451,62,252,7541.911621,11551.14258,2,2,85.802,77.458664,6125.042357,162.067969,255,2063912232,2334441775,255,0.107828,0.051706,0.056122,81,124,1,160,2,1,1,1,1,2,0,0,1,1,3,0,Exploits
17,0.432617,tcp,http,FIN,10,8,968,354,39.295727,254,252,16125.11719,5732.553223,2,1,45.916333,54.563145,3158.114218,106.542766,255,1551550120,779429310,255,0.10114,0.050666,0.050474,97,44,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
18,0.249214,tcp,http,FIN,10,8,848,986,68.214468,62,252,24525.10742,27703.09961,2,2,27.690444,32.990285,1463.810856,57.058832,255,2108875204,4167817686,255,0.061495,0.009477,0.052018,85,123,1,73,2,1,2,2,1,2,0,0,1,2,2,0,Exploits
19,0.190223,tcp,http,FIN,10,6,902,268,78.85482,254,252,34149.39453,9420.522461,2,1,19.493111,36.374199,1035.969762,61.652242,255,1216905574,2430237932,255,0.0542,0.008343,0.045857,90,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance
20,0.894891,tcp,smtp,FIN,20,20,3178,1784,43.580725,62,252,26997.70117,15152.68262,7,8,47.099528,46.271,2223.784116,51.086562,255,2200114777,3402592518,255,0.062427,0.01498,0.047447,159,89,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
21,0.998863,tcp,pop3,FIN,20,24,948,9872,43.048947,62,252,7216.205078,75774.15625,7,10,52.571738,41.46165,2778.532203,2506.784107,255,43493637,2610778474,255,0.115983,0.044489,0.071494,47,411,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
22,0.282722,tcp,http,FIN,10,8,844,1094,60.12974,62,252,21505.22461,27107.90234,2,2,31.413556,36.054,1568.944812,59.033086,255,2348252448,2152782635,255,0.052429,0.007554,0.044875,84,137,1,127,2,1,2,2,1,2,0,0,1,2,2,0,Exploits
23,9.95755,tcp,pop3,FIN,246,1554,10662,2055289,180.66693,62,252,8531.416016,1650178.625,7,775,40.64306,6.410746,2217.616259,868.071675,255,2055688489,4288220471,255,0.059617,0.013861,0.045756,43,1323,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
24,1.232252,tcp,pop3,FIN,20,20,950,2266,31.64937,62,252,5862.437012,13977.66016,7,8,64.855367,61.430262,3167.501337,71.707625,255,1661865435,99458549,255,0.104512,0.041314,0.063198,48,113,0,0,2,1,1,2,1,1,0,0,0,2,1,0,Exploits
25,0.305854,tcp,http,FIN,10,6,1582,268,49.043009,254,252,37246.53125,5859.004883,2,1,29.005111,51.277,1425.977439,66.626336,255,1343525938,3038257943,255,0.072706,0.049463,0.023243,158,45,1,0,1,1,1,1,1,2,0,0,1,1,1,0,Exploits
